,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
Bearing,0.023425451641908967,0.009201751916878914,0.019143354797977363,0.01886539123732987,0.000530800985384841,0.01721720005502831,0.022816550991939185,0.01802216795497413,0.00570647943800928,-0.0035830337928743484,0.04057222959676644,0.041763417318521116,-0.013013083582760081,0.0412134996793074,-0.04245454388160701,-0.06179951377472713,0.013058772861848058,0.009004402405031095,0.013231870877620329,-0.004723835938089523,0.0469409650853225,0.04001102321275982,0.029093693293829728,-0.009062249645483767,-0.008731901097284597,-0.3060678497129326,0.04119064493007634,0.023339875742072847,-0.11274211126238741,-0.044577796157817824,-0.05507320270852832,0.04426196390961678,0.9703589777874682,0.1160310143231484,0.041576698160659474,0.03264924364522088,0.991031659750458,-0.006912068575093824,0.0008814797604263512,1.0,0.02954904283311095,0.00025004162776371184,0.032785661982382384,0.01293516608831529,,0.00812690366350032,0.06619510353514314,-0.04094455656446132,-0.041930543529175884,0.005196778918941265,0.034163162294024885,0.03630318476436158,-0.519665564959382,-0.44381340198952524,-0.2772117032039353,0.002674313728452455,0.29614555671011084,0.4234013998748975,0.5228381158375879,-0.03721320060012015
HangTime,-0.026287426889876907,-0.0034392894458534504,0.009550550107145919,0.025882646279521256,-0.03019120753696756,-0.006919597878562541,0.025585984094951678,-0.0301793078662002,-0.001789732402309289,0.04614377766546263,-0.041382861853270794,0.4152212043273434,0.040720420488983784,-0.012663507220479424,0.006900727139135481,0.02132301265304655,0.010478384334704542,-0.008967518539109652,0.034709476291589866,-0.020009833266851393,-0.0070864346401525325,0.057851920220261845,0.10045213573651829,-0.02810760076128513,0.1579878694837533,-0.01701877051618152,-0.024016744879702578,0.10477143843017715,-0.0013501845846188587,0.014922448334910425,-0.09746496739405001,0.8734750986678936,0.014809673750423902,0.5993453431215586,0.12674934644489966,0.911451916275412,0.022997338592339545,0.634555196086817,-0.05215138952892194,0.02954904283311095,1.0,0.027663121971711366,0.09300210618497752,0.019220728289307903,,0.040925667126392284,-0.0192923450663318,0.013100017384991147,0.01811922234202384,0.027053918245692084,0.01555756618884712,0.08428685978048399,-0.04363744159524968,-0.057536254208880526,0.022289435492277174,0.06104242600561493,0.0170554168870141,-0.04467900766673752,0.0149278365806656,-0.4278472459683298
pfxx,-0.07576135510380297,4.441677722909187e-05,0.05667043519940646,0.10699515307424073,-0.7119691737416837,0.04065846896652264,0.18061590901783492,-0.08719551201772466,-0.0025263837049060507,0.009609045725461118,0.10570940277042778,0.016718824239689775,-0.004668107435986195,-0.3206244687924296,0.14504035755777508,0.8334311907823466,0.011342589318122223,-0.8081866160165584,0.039814443281550184,-0.6860899688336406,-0.1745432875414431,-0.22172453378210327,-0.10712022746348254,-0.996844489095773,-0.030019183101415676,-0.28556192865878116,-0.32059405858537565,-0.21789106064297095,0.05426867657875797,0.3205320738169603,-0.006628486159578338,0.025056636956883604,-0.04508990075648188,0.02484832703732112,0.004443751734013104,0.01751446190891528,-0.017142248656206498,0.02103100043419157,0.011422038843696119,0.00025004162776371184,0.027663121971711366,1.0,-0.11670716690481822,0.6646001430308897,,0.06801349854238306,-0.8193119130553776,0.3215286253397863,0.14324209678551716,0.9933361072202159,-0.25424312579528036,-0.153752147621424,-0.005140084688126135,0.018612386676799347,-0.0027269868234403526,-0.002926867399499481,0.004104261017405041,-0.02227528910360274,0.011138351973591655,-0.017508236743335005
pfxz,-0.07375087813217192,-0.06318355424229634,-0.006737830909776576,0.01938860994127761,-0.08934376753204401,0.037208013750965455,-0.04006290427104168,-0.0675576585038112,-0.03419854234108736,0.1122533700867238,-0.13827199898672066,0.017893443769804316,-0.02437624336299448,0.5907508743240169,-0.8162554129950681,0.02681634337782918,-0.07941941581138555,0.21629307979471002,0.3638724248736567,-0.09762912550493802,0.1938421058961296,0.9246278377681598,0.9977007240022806,0.13247394596999468,0.19248637665166243,0.024435651066762307,0.5487461631575697,0.7154733409490359,0.21716437938644081,-0.5783297788111694,0.02434518273373237,0.09319433715946103,0.04138438703109089,0.03654323236430056,-0.0007161345627125424,0.10508227861359766,0.03521610538253562,0.03884667294850397,-0.04902604430532178,0.032785661982382384,0.09300210618497752,-0.11670716690481822,1.0,0.10321456646633616,,0.24523700643683896,-0.022588250537279947,-0.5877139089141824,-0.7743956104401101,-0.11244284564185647,0.5572889520287586,0.9861468886133399,-0.011304236364564547,-0.02963617252261664,0.014759871043225013,-0.007999399735200688,0.0016824260809149125,0.005526494359127375,0.03207960782698312,-0.031122739979242222
x0,-0.09958096586359977,-0.015292192223515593,0.0033753449036504316,0.060332274103585284,-0.9101981502857868,0.04908391746906593,0.12780204298092626,-0.10103033900584348,0.005961515272127027,0.010039699202660499,0.018376083375602155,0.010592047426443879,-0.017647075084676753,-0.1313973372994314,-0.0641799245428646,0.9316955827586437,-0.13333761909283945,-0.31032082693647767,0.14205376256003832,-0.99912199897877,-0.1457619253804475,0.003922712114279191,0.11160474735108647,-0.610046455152689,0.007351688995314887,-0.2361109837577247,-0.13681102448476096,-0.05297572262662969,0.7190778299840821,0.14289261043989637,0.027587844046077004,0.007947226714582936,-0.01152623382238115,0.018504263349158234,0.022793934057137123,0.007449847968687841,0.00243832056111771,0.029731293817383687,0.04261703639109525,0.01293516608831529,0.019220728289307903,0.6646001430308897,0.10321456646633616,1.0,,0.13948613064955262,-0.932439005343462,0.13318891717068365,-0.056540547188474045,0.6833457959628533,-0.10542553669076178,0.0629685799342717,-0.009313882964617479,-0.012404752619198673,0.0020135072567870186,0.020904481152807994,-0.00972962311327381,-0.017487459810292944,0.01945441108394996,-0.009829593589560488
y0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z0,-0.06704611098792453,-0.04429900373824558,-0.035288818658737606,0.10030482900535784,-0.052812665184340496,0.012856579743858447,0.03889575937403216,-0.05249899687480943,-0.013884171160291158,-0.0511979729348067,-0.0027974321063488896,0.02699381501866624,-0.029671374283146458,0.03734282480545344,-0.4528079729596525,0.12460693684556218,0.004460936199436327,-0.09953544766247915,0.9870197548285657,-0.13928420050418946,-0.14286731949223558,0.1524453242086275,0.22564381540367678,-0.05990586120494956,0.27532600165575377,-0.014814295341035275,0.048962450409674556,-0.1948277802651953,0.12392334591997488,-0.015143103622980478,-0.02142583556171249,0.06096071699831597,-0.007720318486378816,0.014679161911198094,-0.02112848597046433,0.049531145884164136,0.0010543366927483083,-0.01010794780830702,-0.006986788383274273,0.00812690366350032,0.040925667126392284,0.06801349854238306,0.24523700643683896,0.13948613064955262,,1.0,-0.11491779455265676,-0.04081100802607808,-0.47273012420665766,0.05550567240816412,0.03394817815075362,0.23870668812141235,0.01217336156907763,-0.005122767715616925,-0.008626737001785392,-0.017946413951664898,0.026143438055333063,-0.009282912999383955,0.010196767511622682,-0.027147110302033626
vx0,0.08825700937646101,0.00806646182102227,-0.020609452016985594,-0.08954260728067283,0.8973240896551986,-0.057855069014545776,-0.10355947453611511,0.09462667350352265,0.002017546538885187,-0.010850016378916723,-0.043278740454888255,-0.012646215659126632,0.013413654757772857,0.21575900664240502,-0.018146404389386347,-0.9979117257110315,0.10024197601271637,0.4968577630991081,-0.10558069516920174,0.9453704918263441,0.1742494293582496,0.08514754760224012,-0.03258349597409269,0.7732974656628068,0.0044470386890403816,0.04008821266486586,0.2213493947345697,0.11828864270846752,-0.613997428631676,-0.22364514926847706,-0.004105019526915957,-0.01839966904113765,0.09510536442150161,-0.014278440081184252,-0.004497720544818505,-0.011515316632558857,0.07878934812960556,-0.014756635849598677,-0.024317319251169176,0.06619510353514314,-0.0192923450663318,-0.8193119130553776,-0.022588250537279947,-0.932439005343462,,-0.11491779455265676,1.0,-0.21732769583156825,-0.022601016770657394,-0.8356252111544524,0.1669538198419304,0.019550130839843263,-0.03883812264914473,-0.02422810408657737,-0.021807890865858447,-0.011199539660150323,0.029337947817214185,0.04830507226854484,0.020855011994649716,0.012035797925414966
vy0,0.030798636432126568,0.08799488444949628,0.012097121403872688,0.11216774093003991,-0.18416787538539742,-0.020601740003466085,0.05873148133155121,0.008198563086250325,0.006003848435042287,-0.0910687914952023,0.131357561065307,0.010018822593926266,0.040895270789710614,-0.9996269632257039,0.6683163752864351,0.21567464455998123,-0.23820924218271566,-0.30987729771865735,-0.1509386508670561,-0.14220663764983307,-0.2765057955916168,-0.8412202745369983,-0.5644068102295211,-0.32807930478477637,-0.15528073171480794,-0.07627848564275912,-0.989738506940284,-0.7228901388701563,-0.07736513873588399,0.9838913352850316,-0.06097002156395576,0.03559794040003198,-0.05684560237168534,-0.02051011927318715,-0.01877645680477095,0.0034966352164275795,-0.04561462602503497,-0.0094659117725105,0.013717905752189138,-0.04094455656446132,0.013100017384991147,0.3215286253397863,-0.5877139089141824,0.13318891717068365,,-0.04081100802607808,-0.21732769583156825,1.0,0.647391535150643,0.3204518500497347,-0.8182151275306989,-0.6710979113361678,0.03009674683501615,0.021541915528299278,-0.01008502918346352,0.005716986494480451,-0.0024092119537796122,-0.017175357544359917,-0.029863567986621695,-0.0021938558819487607
vz0,0.08415629306740727,0.07896394778478766,0.010709868685233694,-0.014194994060890462,0.005989706978478788,-0.026787357503213052,0.024344807289509267,0.06691669631156574,0.020296627199983864,-0.08520716149917465,0.10824263718773093,0.015384212723413209,0.03153869243712992,-0.6490265042385329,0.9930481431338746,0.016506729021318174,-0.035564672626653915,-0.17195955787455616,-0.6043829748430806,0.05019401553889683,-0.12605914283485592,-0.782189682420885,-0.738809699032353,-0.15668047491641926,0.21763457206353198,-0.02769877278467001,-0.6429599107726024,-0.30235127985681404,-0.17746455378869294,0.6293489865243908,-0.045256102269616016,0.01589303562401155,-0.04478228861809173,0.0019779259075106037,0.0016513733595261786,0.01099028357855329,-0.04245875006867861,0.009241885987354906,0.005182059282144438,-0.041930543529175884,0.01811922234202384,0.14324209678551716,-0.7743956104401101,-0.056540547188474045,,-0.47273012420665766,-0.022601016770657394,0.647391535150643,1.0,0.14432983680245595,-0.5420763210189198,-0.7988958092242568,0.011406124748306838,0.025702811012536336,-0.0016559050726386232,0.019709877832318326,-0.023300614285005145,-0.006342697815480689,-0.034168016620845065,-0.010327224875641463
ax0,-0.07587602450886514,0.003846567537532275,0.057472673357482344,0.11638995395940145,-0.7353730595435398,0.048187532412433044,0.17157668914982996,-0.08834895842446495,-0.004401751942415357,0.01405096210927669,0.10215350794701754,0.0145005642682737,-0.004394698092635176,-0.3193024682320941,0.14520258280638473,0.844228750855322,-0.0033791626038850286,-0.7806969892380661,0.02820437163818078,-0.7039452464485001,-0.17193141820955307,-0.21613724857644365,-0.10275697010744832,-0.9876121543432325,-0.03155754159383587,-0.2818834390506986,-0.3204118187017386,-0.20864942172563825,0.08381975978368596,0.3163211931949991,-0.002792227151996031,0.024476205952736647,-0.038273194203402645,0.02512944767410738,0.00368233796932154,0.017266263483232753,-0.011642507137091496,0.020861677269039123,0.012123553962562475,0.005196778918941265,0.027053918245692084,0.9933361072202159,-0.11244284564185647,0.6833457959628533,,0.05550567240816412,-0.8356252111544524,0.3204518500497347,0.14432983680245595,1.0,-0.25288054453186204,-0.1501962705898479,-0.004927878238859649,0.01231974188637262,-0.0010736361210454122,-0.0034178059913397086,0.0035839490807901236,-0.02028849191031378,0.015389692257953872,-0.014428408813490652
ay0,0.0030422449617379297,-0.08862460248867067,0.00998856586496225,-0.08470780691916373,0.144317313679071,0.008772967032796324,-0.04802203208060888,0.028065004226219156,-0.016638277949606307,0.08803692141838433,-0.08588659486119908,0.006718477683043203,-0.05606468212115449,0.82475805695707,-0.5594358174090422,-0.16585004332189268,0.20281600776544664,0.2432003635474092,0.12630510301392647,0.11236021497144423,0.19914097049998558,0.7190462386989902,0.5376384438926496,0.25769286688322396,0.15636266060344756,0.07715131591103408,0.7300538338494238,0.621003022096846,0.0671145587516476,-0.7682322326447552,0.031217382834073076,0.011249499154139397,0.04627798279876111,0.026129325660565108,0.013575225586211876,0.031843989694981395,0.03577211668114801,0.008940448668545637,-0.031113157663117952,0.034163162294024885,0.01555756618884712,-0.25424312579528036,0.5572889520287586,-0.10542553669076178,,0.03394817815075362,0.1669538198419304,-0.8182151275306989,-0.5420763210189198,-0.25288054453186204,1.0,0.6236496665022516,-0.03583423784644079,-0.024594617628664873,0.016034671690153976,0.014725186389391168,-0.005893270402275972,-0.005290737881316782,0.03478112375546549,-0.015767530287802152
az0,-0.0649295408071578,-0.06446356479753904,-0.0006685579543647181,0.006810830248116435,-0.04244844963058004,0.037461926935762245,-0.04252950998138678,-0.05727586194213863,-0.02447223844176413,0.11931696351662369,-0.13495366361318056,0.0162862555247421,-0.02688240454205147,0.6741960026858124,-0.8312188585439206,-0.01557875273609099,-0.011252070418506665,0.23094412287466967,0.3597558607529924,-0.05665983515843624,0.20637405661578262,0.9481965527510153,0.9804406041980672,0.1681796341965899,0.1969622533405642,0.032703252942954564,0.6342690348318509,0.7398737287527933,0.19453893734678973,-0.653199956655937,0.026614336884088503,0.08354755714313955,0.045456316602427875,0.03721542234487854,-0.002076531664027059,0.09813819332017058,0.038867009711654354,0.03472737386060861,-0.04978456109036364,0.03630318476436158,0.08428685978048399,-0.153752147621424,0.9861468886133399,0.0629685799342717,,0.23870668812141235,0.019550130839843263,-0.6710979113361678,-0.7988958092242568,-0.1501962705898479,0.6236496665022516,1.0,-0.012274230963824205,-0.02919552382841027,0.012257732657931857,-0.009120402584092073,-0.00026347562986293226,0.0095778351882127,0.03523812677490048,-0.029032693935683404
3B,-0.006339263618241414,-0.0062406636931244775,0.012481739213965106,0.011183390179026392,-0.004455560421215998,0.0057206541492264415,-0.01620270050072668,0.00012463197198444778,-0.006165199761878493,0.015890036506405435,0.0015978090504274636,-0.11614364372653689,0.08166875787447885,-0.03084685485032284,0.012638182404024418,0.03533013711228667,-0.011961391127747167,0.009058177895467262,0.009181432070702931,0.004259133542673039,-0.004782189934756977,-0.020343143869976082,-0.009643641239730636,0.01054537750844629,0.0011411499546001523,0.1891245673286344,-0.02764469058465633,-0.021683890380675478,0.07129743713209344,0.028894164728266416,0.005558844452188015,-0.0005060615012564536,-0.5088653479700276,0.07581376999728935,-0.549701185988384,-0.01208043579278849,-0.5075083903548634,-0.04281702315443975,-0.16124660922646386,-0.519665564959382,-0.04363744159524968,-0.005140084688126135,-0.011304236364564547,-0.009313882964617479,,0.01217336156907763,-0.03883812264914473,0.03009674683501615,0.011406124748306838,-0.004927878238859649,-0.03583423784644079,-0.012274230963824205,1.0,-0.11995663260643534,-0.12676118025859834,-0.20378817927038473,-0.13298481322522968,-0.1138594328876553,-0.10091203295086372,0.11132012685762331
5_6_Hole,-0.01975235292554003,-0.0030105940910116636,-0.016790604160541314,-0.020478840825444426,0.014039736988586541,-0.011178836617072878,0.0005700994563255055,-0.02490501108265874,0.007169766931276738,-0.005859143100997529,-0.031900848993984425,-0.045032403948724396,0.02755972513176063,-0.021605701056274042,0.026978756531239274,0.024411208605700174,0.00735610508652324,-0.04037545862519408,-0.008239129609144077,0.008409909097357563,-0.03763867333227799,-0.03047631468797784,-0.027955933071161326,-0.017459852583394858,-0.003388825447088148,0.10764130033334664,-0.01927897924907276,-0.022416617369173518,0.01737039539346464,0.025536044517018228,0.039063144251652346,-0.03814368881215561,-0.4244471035597843,-0.027676855117239794,-0.16376411555235632,-0.04071895152427018,-0.4411264543067886,-0.03517284947003041,-0.04269240752056295,-0.44381340198952524,-0.057536254208880526,0.018612386676799347,-0.02963617252261664,-0.012404752619198673,,-0.005122767715616925,-0.02422810408657737,0.021541915528299278,0.025702811012536336,0.01231974188637262,-0.024594617628664873,-0.02919552382841027,-0.11995663260643534,1.0,-0.15068415415278266,-0.24224805541450253,-0.15808234078549763,-0.13534752754739637,-0.11995663260643553,0.0390332499726151
SS,0.020628350503514737,0.006073197925879911,-0.008160217594962231,-0.0020894861906689526,-0.010904555938116654,0.007229585548229131,-0.038290647070151985,0.024825601993728255,0.007012677886278757,0.015087989132776987,-0.012828045458513826,0.0035610524399807887,-0.013282548831334829,0.010509200965541353,-0.0033991697850006904,0.01928977391166471,-0.011630381670666039,0.01619565586550561,-0.006772934154801928,-0.003859339286713908,-0.013036153257070133,0.015447281736209918,0.016001228667455687,0.0063121476006895195,0.01257015868787167,0.08342821207092548,0.007188162689845366,0.022392404457150298,0.039407128075334585,-0.00913843123113985,0.016435722382827825,-0.0013729643068913144,-0.25564483881984046,-0.05967270382450141,0.18484189146650915,0.012111239052428335,-0.2767271490751577,0.022390856369903216,0.04074281933730783,-0.2772117032039353,0.022289435492277174,-0.0027269868234403526,0.014759871043225013,0.0020135072567870186,,-0.008626737001785392,-0.021807890865858447,-0.01008502918346352,-0.0016559050726386232,-0.0010736361210454122,0.016034671690153976,0.012257732657931857,-0.12676118025859834,-0.15068415415278266,1.0,-0.25598959184226766,-0.16704957167107978,-0.14302512469886547,-0.12676118025859853,-0.011232841248844798
Up_the_Middle,-0.028872734730490242,-0.010056684982585832,-0.020564161605158747,-0.023678660680677113,-0.0172458950820613,-0.040034885125078634,0.030283679140450263,-0.024711855405668056,-0.008985170945094552,-0.026192060337993962,-0.021020672236025092,0.1353629711063988,-0.10485066548392165,-0.0056932075780358705,0.01801406345399284,0.011133877540542285,-0.0021434419230032214,0.003785687790594119,-0.019764622307176113,-0.01991268693473891,0.008975221518440395,-0.008088104185370718,-0.008203785335697166,0.004627703783483906,0.005989299381541574,-0.0093271600748701,-0.010401944768403967,0.004285953805024883,0.02440689233555825,0.005734718470458361,0.005735097881514603,-0.013276444356156087,-0.010115024547565507,-0.17492295860090695,0.5798084767128698,0.005718650850404664,-0.006262701882497946,0.09207896241383808,0.19747018857844928,0.002674313728452455,0.06104242600561493,-0.002926867399499481,-0.007999399735200688,0.020904481152807994,,-0.017946413951664898,-0.011199539660150323,0.005716986494480451,0.019709877832318326,-0.0034178059913397086,0.014725186389391168,-0.009120402584092073,-0.20378817927038473,-0.24224805541450253,-0.25598959184226766,1.0,-0.26855799219680354,-0.22993498240422064,-0.20378817927038473,-0.1240881153466328
2B,0.015554271376105227,0.03104398826252749,-0.0035814452426745813,0.009527942218962793,0.019627502869252796,0.005982601924585466,-0.003553324040327085,0.007474603101089972,-0.0042866578143900365,-0.005533278111323345,0.010317053434471597,0.013310734234089912,0.014202972153119504,0.002165491475815012,-0.02228209893857745,-0.027165627465965347,0.007359143782361793,-0.015252949130729446,0.028145342757908014,0.011995617406363472,-0.007397026896580067,0.0023527098569771417,0.00024404368566390943,-0.008025771047492452,-0.01713188012323897,-0.09602804567066299,0.0048657115829404,-0.018015030359318028,-0.05535929659470432,-0.003554265767449691,-0.0037015761566437278,0.009017004519231785,0.27567998056008747,0.002222075900127136,0.21432571173120984,0.007890321769114281,0.29652382504686514,0.004352098147611513,0.05734209109569893,0.29614555671011084,0.0170554168870141,0.004104261017405041,0.0016824260809149125,-0.00972962311327381,,0.026143438055333063,0.029337947817214185,-0.0024092119537796122,-0.023300614285005145,0.0035839490807901236,-0.005893270402275972,-0.00026347562986293226,-0.13298481322522968,-0.15808234078549763,-0.16704957167107978,-0.26855799219680354,1.0,-0.1500472735879724,-0.1329848132252301,-0.006207624233775067
3_4_Hole,0.023132282245285293,-0.0030859366748615664,0.03194045368687101,0.02139704120819139,0.01890082688440972,0.04639513418714655,0.013641328632569375,0.019557989502899845,0.009670060285685842,0.015278915019123597,0.03988718241739272,-0.00684681890029529,-0.01178497841799907,0.0177159168651042,-0.004464974689417651,-0.04738719019259314,-0.008826836125718746,0.017931337604612886,-0.008767980090677883,0.02073681425256009,0.014946964447323484,0.010594587397514874,0.005310754971889661,0.018119974813943732,0.0009470951784076857,-0.10906983678746975,0.021893598040091822,0.013517227613110883,-0.0530599455062894,-0.017021319547711147,-0.022425402567806577,-0.011596900331895617,0.41436143352903043,0.09699116547263753,-0.12970135712864364,-0.017072514799191897,0.4274296219888136,-0.060930092114265276,-0.043454536276436924,0.4234013998748975,-0.04467900766673752,-0.02227528910360274,0.005526494359127375,-0.017487459810292944,,-0.009282912999383955,0.04830507226854484,-0.017175357544359917,-0.006342697815480689,-0.02028849191031378,-0.005290737881316782,0.0095778351882127,-0.1138594328876553,-0.13534752754739637,-0.14302512469886547,-0.22993498240422064,-0.1500472735879724,1.0,-0.11385943288765477,0.006044122570675869
1B,0.0051658276629350346,-0.01664247581574573,0.018136610707280853,0.01674518972356939,-0.01648782438286492,0.0030606223162016697,0.0029013437610872625,0.006951353038353412,-0.0016130731815806117,0.004087631463338785,0.026710071797164,-0.058624941730224735,0.06319533026164213,0.02984910482507845,-0.035435086364313015,-0.018141341631678375,0.02141812183388611,0.01099416061269534,0.014372200581910773,-0.015558294954720867,0.04198565500422172,0.03499428148766568,0.029348681824362295,-0.01540460355523668,-0.0015825738204254388,-0.15864548280955135,0.02742844034765211,0.021255052462416508,-0.049900677676959465,-0.03314889884677729,-0.04968607844652732,0.06837730325890679,0.5194869336318318,0.19307954089925047,-0.5182768668977478,0.04431507697491343,0.5162005897132362,-0.02694152094946088,-0.17243991360285194,0.5228381158375879,0.0149278365806656,0.011138351973591655,0.03207960782698312,0.01945441108394996,,0.010196767511622682,0.020855011994649716,-0.029863567986621695,-0.034168016620845065,0.015389692257953872,0.03478112375546549,0.03523812677490048,-0.10091203295086372,-0.11995663260643553,-0.12676118025859853,-0.20378817927038473,-0.1329848132252301,-0.11385943288765477,1.0,0.053828286013244464
PlayResult,0.0009468820755246283,0.04343769382963843,-0.028436693456010718,0.012283438591705807,0.014275103473943666,0.02773097954193272,-0.023862345414290873,-0.00922752589908353,-0.02579309519845604,-0.03072966859337371,-0.01859471950063657,-0.9100045173879111,0.4568896447132855,0.0017875081454063037,-0.007152484632606822,-0.01350072917019788,-0.023210198079780416,0.006463897115495469,-0.023644236949440154,0.010626906074340197,0.033506492783279655,-0.01787215803601364,-0.03492254614097947,0.018017789523039705,-0.07344647632520876,0.004489424076280664,0.007494569899233128,-0.038590209473460924,0.0012417940865862573,-0.009499612714393452,0.24674622964309126,-0.4624974696630679,-0.027820534765218823,-0.330054824949857,-0.16848481492759249,-0.4446014314889829,-0.032212262390931334,-0.08903900945503194,0.10290898383107168,-0.03721320060012015,-0.4278472459683298,-0.017508236743335005,-0.031122739979242222,-0.009829593589560488,,-0.027147110302033626,0.012035797925414966,-0.0021938558819487607,-0.010327224875641463,-0.014428408813490652,-0.015767530287802152,-0.029032693935683404,0.11132012685762331,0.0390332499726151,-0.011232841248844798,-0.1240881153466328,-0.006207624233775067,0.006044122570675869,0.053828286013244464,1.0
