,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult
PitchNo,1.0,0.08224727066015855,0.018757272904496834,0.0389112971317232,0.08183246760949801,0.03780524224003446,0.010597522422389148,0.9580696783208061,0.0585852744232392,0.007903746814335363,0.023589685036336246,-0.0003929398787880112,0.015720556283011253,-0.015903323640879236,0.06152610342209482,-0.057340846569104015,-0.00359707479232928,0.013524237389605164,-0.06191597042813136,0.06554988423903232,0.08019499513466469,-0.0420099224453602,-0.058933589621696925,0.04675405589823788,-5.428825467442401e-06,0.04195241613510268,-0.020393288964009437,-0.013836847114643825,-0.028922985768014296,0.006822189952409052,-0.03211195561809899,-0.024041370820422826,0.015123457549044036,0.011318460422792694,0.01035191325714969,-0.007518563612589605,0.03513825854070702,-0.04317835926452962,-0.031321694718964024,0.014940306406632313,-0.03157855431884988,-0.049302231406816825,-0.05761208501177796,-0.06526165804655948,,-0.05405900036594677,0.05467805614961853,0.015217358049488195,0.06124794699003889,-0.05011035108284834,0.011799137356844883,-0.05054430685863368,-0.008420149335601932
PAofInning,0.08224727066015855,1.0,-0.008190384935827735,0.02066944717463364,0.007244573607068265,0.002985708128761221,-0.009257033269610573,-0.005149993908190236,0.6667337563355337,0.001152781350511971,-0.011748085638424848,0.03731073868414721,0.34013913747064084,-0.09285856912202285,0.07795376340954839,0.0037359096210082925,-0.020157263617349402,-0.027104769715648444,-0.03453907283079992,0.008043528162311197,0.039474443560579955,-0.08404549370819576,-0.06904469741952493,-0.013613635026515023,-0.01168775173837388,0.018588608685771595,-0.08953381052846485,-0.06484352505774522,-0.011237623485275879,0.08213332964369008,-0.006283417251517241,-0.009741230943717222,0.009905504343000499,-0.00866890317632938,0.01322431683721729,-0.010988237892250499,0.012025398425052137,-0.0025985413500409765,0.004473587878862488,0.006997840514889132,-0.00953201361836293,0.012596222404886974,-0.06946674084648832,-0.009314783374799764,,-0.021157545012628957,-0.005835789403110603,0.09185520433118495,0.07534817102529376,0.015626374773438638,-0.08045041287474645,-0.06980414949316273,0.020447851928889586
PitchofPA,0.018757272904496834,-0.008190384935827735,1.0,0.021995004318796623,-0.031385432870640405,0.029041485924457957,0.0005672109721870303,-0.005943976838705931,0.0035178507338086665,0.8174928303545046,0.7898991637319474,-0.003077116252249834,0.013308115313987906,-0.022940585082288877,0.01984153146174799,0.039828662439122274,0.05601086894325474,-0.0941477750916466,-0.007401638895068353,-0.020173791102542804,-0.02056353112395712,-0.02941965428504946,-0.025059195998216984,-0.08536990552110099,-0.016024879717286153,-0.036525674938793405,-0.025787881484715294,-0.02823012726698966,-0.04595277628216893,0.027467751399215524,-0.00023413779270042137,0.022124947869404592,-0.012362533438330202,0.03217967161586025,-0.03858984984487618,0.019663756897780344,0.0062858289402956844,0.009121758378213898,-0.0018561469661704038,-0.002506774779204918,0.01879629121854689,0.08133132743541514,-0.02432119256082191,0.017907008001938698,,-0.00398941584311576,-0.03820853251953979,0.023487172738740004,0.015186408542641116,0.08110519135820728,-0.0027265678646266377,-0.019136369527419202,-0.0016651979525889725
PitcherId,0.0389112971317232,0.02066944717463364,0.021995004318796623,1.0,-0.07493662413846652,0.08478566171677628,0.031279832805919554,0.011309541182278643,-0.008156930340700473,0.031938545591344916,0.005534907336404562,-0.031670707369484546,0.04726024259962638,-0.08472070106950642,-0.03470971370675689,0.08468939954844155,-0.08018517210046057,-0.0548586959423314,0.10453153341238404,-0.06944826057428438,0.010620559773775894,-0.009278937110750302,0.039061510370583766,-0.09345109006061728,0.010353067551306215,-0.017359830352933696,-0.08666857513646499,-0.05101746511061127,0.012161015982811907,0.07563627002251576,0.02861768318125814,0.036842362107763114,0.022727963642734467,0.025702959050726108,-0.0035799822557251977,0.008528350071464684,0.008461072170922007,0.04029619947356819,0.03672364775498248,0.02666341601520611,0.03648413996867622,0.09522587339231105,0.03878169471361122,0.0669114867493425,,0.10886143347439448,-0.08861333059190114,0.08588139334707781,-0.03589986278618237,0.10366204269003908,-0.0686410474537012,0.028317536410720826,0.02929557652608841
PitcherThrows,0.08183246760949801,0.007244573607068265,-0.031385432870640405,-0.07493662413846652,1.0,-0.09394669239521605,-0.08449748001196325,0.08333380697470823,0.01061100667638952,-0.03411190085402537,-0.02887414121656963,0.012580439248373945,0.007082187063052778,0.16957726925243705,0.0064904853306776405,-0.8916446650193243,0.15313598348970098,0.26671926085391867,-0.047688921906283654,0.9131523088480945,0.13920672895670247,0.02677733848586936,-0.08733059930101814,0.622619186886875,0.017887541199223544,0.17721911217247302,0.17929816365806006,0.046422018535773886,-0.5823867526081129,-0.17981300808609438,-0.02292354293507167,-0.032682767617830115,0.01698186096808691,-0.04682177529510783,-0.023916339933818805,-0.0017350944205311927,0.0025088832864890182,-0.04442123892697738,-0.05160962689932811,-0.006337549719786649,-0.03636680533940333,-0.671927417341781,-0.07640057414023955,-0.907866030156545,,-0.04669733238104051,0.8901880312953967,-0.17352114383621822,-0.0012417205141082737,-0.6970269283130809,0.131976421253909,-0.040231439889089594,-0.014517015741390518
BatterId,0.03780524224003446,0.002985708128761221,0.029041485924457957,0.08478566171677628,-0.09394669239521605,1.0,-0.11920975446727879,0.040587852204945235,0.016534571881842285,0.02296619400705554,0.030149991269271086,-0.0092777478585488,0.020970900496854638,0.034533087484399455,-0.026967223617344376,0.06833567822872363,-0.00844660664867421,-0.007021363566190972,0.022686527009654556,-0.06427539999509316,-0.021628961081054544,0.04005454788875492,0.04030369984514503,-0.04115595903419258,0.033722624906978145,0.016699568460731756,0.03414296151607711,0.04086247198340961,0.05346280984841832,-0.0291642291781534,-0.04145251972638943,-0.02120666937989474,0.04341019907487166,0.047758773191559474,-0.007765691258982111,-0.008906179472736617,0.015705793878509674,-0.012349877243420446,-0.003538064420092274,0.023852339588095857,-0.010949995396090184,0.045726388938821805,0.038339242175976465,0.06301820180557248,,0.018831265628664925,-0.06955861055929322,-0.032796563893049815,-0.02523221160635868,0.0501788008448019,0.016280603560601837,0.03882502281197086,0.007208946266565035
BatterSide,0.010597522422389148,-0.009257033269610573,0.0005672109721870303,0.031279832805919554,-0.08449748001196325,-0.11920975446727879,1.0,0.013129524531027234,0.00654127604670566,-0.008155148329091595,0.014744939169966565,-0.005969070568071314,-0.00894921641591975,-0.0471005014063019,0.016653514720006483,0.06316827508286564,0.03247307841309263,-0.15990115282872297,0.045350932137552084,-0.10249814432241772,-0.06659709067182666,-0.037575301044322496,-0.018423744996074066,-0.15182701724165795,0.013891617610594022,-0.30879094501959425,-0.047111493294655825,-0.043787864457302934,-0.09514541973767805,0.05491801846794393,-0.0013814796079770239,0.007651041241622271,-0.22597570655200117,0.05113757818559883,0.012860569529965225,0.033632150438126354,0.0309962008746145,0.013121986629216832,0.006777948081064606,-0.05165801923329572,0.020207532508335912,0.14554482250481798,-0.020030996455949975,0.10768750804957462,,0.05235538106202241,-0.05719289145488675,0.04851540125717813,0.01105248943731487,0.13676499297175618,-0.04002395645181125,-0.01958783363594481,0.0035111259676898912
Inning,0.9580696783208061,-0.005149993908190236,-0.005943976838705931,0.011309541182278643,0.08333380697470823,0.040587852204945235,0.013129524531027234,1.0,0.01150547464225453,-0.013760134503991658,0.004595506425589407,0.0018322268787985048,-0.017431199234122487,0.007913173372669417,0.04761905809387727,-0.06738586833244219,0.011215358121485351,0.024264323911766725,-0.05002177355539546,0.07138898680188259,0.048201684257915524,-0.03125135849926375,-0.054660748238577465,0.05977130583849522,-0.0007658748731177705,0.039673512571563554,0.0019105058346330938,-0.00865228824399738,-0.027899244811832216,-0.009972431224712653,-0.0341924027179557,-0.022965234555062216,0.016983235072378887,0.008039535964624738,0.002637019781802472,-0.0083794974534092,0.032896504081497364,-0.041692949812739695,-0.02989658739946189,0.01586606592455151,-0.02939315267338828,-0.06260170755023732,-0.05341370232338222,-0.07063447133838764,,-0.04482463552140152,0.06539517482722476,-0.007955630777511588,0.046248422805504535,-0.06417754100979478,0.0362000775986178,-0.04510113538475267,-0.01707568941302737
Outs,0.0585852744232392,0.6667337563355337,0.0035178507338086665,-0.008156930340700473,0.01061100667638952,0.016534571881842285,0.00654127604670566,0.01150547464225453,1.0,0.016466957896257295,-0.0021657161367975067,-0.004417515324501151,0.08486247890128788,-0.025460487137363118,0.04075757086941792,-0.00681411100356537,0.022790388464325104,-0.023170557799570474,-0.017334443819263037,0.01225100938311005,0.03227056271617255,-0.0443546035753789,-0.05038673787179526,-0.008237002359833023,-0.0063956673050615,-0.002598484775401017,-0.0217296313448001,-0.03491963738308428,-0.020691797562404943,0.02238190185066579,-0.015291389148608487,-0.017233227931241754,-0.00021289437808465683,0.0021813989822645485,0.017969297746862577,-0.014447079734631425,0.005214772966799239,-0.001123120904323871,0.009098382222228054,0.00018557575232834057,-0.008697140140680846,0.0062817737518714575,-0.04934372807276214,-0.01309311839333993,,-0.010091932589072518,0.007917950524402168,0.024774190557942753,0.037082728090963975,0.004277328249689718,-0.024994785640883314,-0.042358535153231555,-0.030786990832272834
Balls,0.007903746814335363,0.001152781350511971,0.8174928303545046,0.031938545591344916,-0.03411190085402537,0.02296619400705554,-0.008155148329091595,-0.013760134503991658,0.016466957896257295,1.0,0.4026337565552369,-0.008258041630147485,0.019860139074601258,0.0894694592460292,-0.08027439591707829,0.023641491926649827,0.04101278432307375,-0.01711568348454729,-0.008681263273070844,-0.02257731472183003,0.026656871686684083,0.10562852826412425,0.09953406042541885,-0.024464819953920674,0.004140249702922792,-0.011435548494336412,0.08220835031571792,0.09588803467337705,0.006104601073847746,-0.08655829469333164,0.055381061534038795,0.04303535536541737,-0.018872031149407813,0.029114585500184403,-0.022192959407981525,0.057596108547345606,-0.002365144803325934,0.038976431193258276,0.017042311862723838,-0.012285754685086596,0.04871398415076597,0.02446314177700472,0.10005950521324859,0.02220903418218284,,-0.024595761498706303,-0.023748862938593115,-0.08859805938697216,-0.07793433267492231,0.026808424231184447,0.08791381174806774,0.10474332350414735,0.0034340110118956046
Strikes,0.023589685036336246,-0.011748085638424848,0.7898991637319474,0.005534907336404562,-0.02887414121656963,0.030149991269271086,0.014744939169966565,0.004595506425589407,-0.0021657161367975067,0.4026337565552369,1.0,0.008881305989332943,0.005400794045548666,-0.1533080287116925,0.13513886164441766,0.05363359670289574,0.06187302952114551,-0.15435278367503633,-0.00877773236053359,-0.01941331672512948,-0.0795218092106577,-0.18577916544990036,-0.16951510174077827,-0.13630833611956578,-0.04430522375991412,-0.0609187397002508,-0.1505731457662773,-0.17285642540494914,-0.08937375817299209,0.15950273030418405,-0.05996695320425231,-0.027866256411830236,0.003388162327762441,0.015986390259057504,-0.03882456900062474,-0.03565579519272537,0.021058674185876522,-0.038721348558236224,-0.026433350205101187,0.013679991730836357,-0.03491452212886812,0.1292246105950169,-0.16911208385337628,0.01579441209248169,,0.016012230178715274,-0.050533761141739235,0.15356025098100667,0.12297579145756628,0.12594560714508587,-0.11163907584858365,-0.1651352434755406,-0.010400096199303013
OutsOnPlay,-0.0003929398787880112,0.03731073868414721,-0.003077116252249834,-0.031670707369484546,0.012580439248373945,-0.0092777478585488,-0.005969070568071314,0.0018322268787985048,-0.004417515324501151,-0.008258041630147485,0.008881305989332943,1.0,-0.26667265125958534,-0.0069388745853171405,0.015019536660163106,-0.014066602858894215,0.008564652860341717,0.025304189253222063,-0.004773467572573486,0.015834823160918297,0.004660348774126137,-0.003301114817559244,-0.0006983460079717306,0.015672257269303918,0.023970550389039114,0.018548969770678953,-0.00801867775099342,0.009349618402454133,-0.001463133842415641,0.006064117622937573,-0.20511719691098942,0.05000034409258222,0.028672414921769335,0.28361818617150614,0.08230437643755298,0.4827111883019068,0.03652802150046519,-0.045793950545220195,-0.16079085544351365,0.02982663351882286,0.12374983715138924,-0.016267213762079936,-0.0019132812614018,-0.0164595966345417,,-0.002172424324943335,0.013879211266841551,0.0065796818529464665,0.018641367707897743,-0.0167434381774927,-0.0009045691803654285,-0.005935355338349833,-0.8912477453767287
RunsScored,0.015720556283011253,0.34013913747064084,0.013308115313987906,0.04726024259962638,0.007082187063052778,0.020970900496854638,-0.00894921641591975,-0.017431199234122487,0.08486247890128788,0.019860139074601258,0.005400794045548666,-0.26667265125958534,1.0,-0.04628774388771934,0.026960741793246135,0.0002829621228988224,0.0029941576706145963,-0.019073366290142484,-0.00756558183025356,0.002218314725367339,0.0016925125511157125,-0.04373045953634604,-0.03447183804757087,-0.004210286208730419,-0.02635372671447642,0.0005428707224004144,-0.04424763410076809,-0.046058355747867465,-0.0050579359121288945,0.0444081850852561,0.1005039519593141,-0.008615856065809755,0.022594792465734207,-0.09814714264427929,-0.03931691724218039,-0.1481699180806468,0.004289614271403341,0.06631691170637005,0.10411247115559662,0.015103874275062037,-0.015655003129304245,0.004011594076589575,-0.033784172048521736,-0.002255667232253967,,-0.0022985265094283727,-0.0005105431221206525,0.04626415264256121,0.021649930199525286,0.0038055160483453383,-0.0421133520933922,-0.03150076965822801,0.3691601777226509
RelSpeed,-0.015903323640879236,-0.09285856912202285,-0.022940585082288877,-0.08472070106950642,0.16957726925243705,0.034533087484399455,-0.0471005014063019,0.007913173372669417,-0.025460487137363118,0.0894694592460292,-0.1533080287116925,-0.0069388745853171405,-0.04628774388771934,1.0,-0.6780909592568858,-0.2124231359887033,0.2165198599793956,0.3184361152241766,0.15659462795011697,0.13046812267205132,0.27374887460861264,0.8448475663109247,0.587343101788281,0.33978023052596057,0.17578262151348056,0.0836442968879622,0.9874668783538811,0.7306321140036895,0.10299897980864008,-0.9810868669949155,0.10143221859820921,-0.019831044246807535,0.040088682491041756,0.023575020471873848,-0.004218945272832804,0.01400695219759356,0.034677316433825926,-0.006423122218214412,-0.016986900283221987,0.026108895602197854,-0.009891840011384094,-0.33299706800988077,0.608057763297927,-0.1209135577159459,,0.042481118358057096,0.2164953867132496,-0.9996425000846373,-0.6558222654091729,-0.3368503658586384,0.8250899105616338,0.6771032457331656,-0.001552367240952928
VertRelAngle,0.06152610342209482,0.07795376340954839,0.01984153146174799,-0.03470971370675689,0.0064904853306776405,-0.026967223617344376,0.016653514720006483,0.04761905809387727,0.04075757086941792,-0.08027439591707829,0.13513886164441766,0.015019536660163106,0.026960741793246135,-0.6780909592568858,1.0,0.02738244598403531,-0.00203348689152766,-0.19568368218253096,-0.5807742538870914,0.05182989169442628,-0.18714925469746085,-0.82891513537599,-0.7837167106876902,-0.18086968935574751,0.15191397090532502,-0.021556466176597365,-0.6704106607260709,-0.3919260271620006,-0.18610191585633024,0.6723384515397608,-0.0813230261581971,-0.018305303316312825,-0.032239413139553565,-0.007733694819351391,0.00018314159170401014,-0.005236881044275024,-0.03700141878862801,-0.0225727137101106,-0.0157799172368741,-0.029710352947053313,-0.014692068954173533,0.1671157932454205,-0.8160473568306265,-0.0590530090287386,,-0.4423480498782683,-0.03300547687273349,0.6774286742681979,0.9930225775014371,0.1672185843855573,-0.5632160592938639,-0.8279169149400333,-0.010747648710184137
HorzRelAngle,-0.057340846569104015,0.0037359096210082925,0.039828662439122274,0.08468939954844155,-0.8916446650193243,0.06833567822872363,0.06316827508286564,-0.06738586833244219,-0.00681411100356537,0.023641491926649827,0.05363359670289574,-0.014066602858894215,0.0002829621228988224,-0.2124231359887033,0.02738244598403531,1.0,-0.08360234046620375,-0.4646746594527137,0.11142201572420571,-0.9394190501235629,-0.16012283155819024,-0.09268329584479966,0.015089316001162674,-0.7610888443472164,0.0032608896696335317,-0.03721967574487133,-0.21791528353198683,-0.12187806108070356,0.5743890655339053,0.22050740891650675,0.009281527971423105,0.04032909984130945,-0.062735584262848,0.02644893198451581,0.015289735633691464,-0.004156182249268859,-0.06428486437899304,0.046971904291325584,0.05188262687064862,-0.049330367727859176,0.03805321574484419,0.8097489526628969,0.006793798092886348,0.9248662627566762,,0.12392336251475056,-0.9979219463799031,0.21378264779773845,0.02898940824709037,0.8220776588527671,-0.1614368303772926,-0.024763569211353285,0.015186417611874363
SpinRate,-0.00359707479232928,-0.020157263617349402,0.05601086894325474,-0.08018517210046057,0.15313598348970098,-0.00844660664867421,0.03247307841309263,0.011215358121485351,0.022790388464325104,0.04101278432307375,0.06187302952114551,0.008564652860341717,0.0029941576706145963,0.2165198599793956,-0.00203348689152766,-0.08360234046620375,1.0,-0.11201718989108188,0.03896247296573654,0.12257270753182721,-0.15913659831766294,0.01784143910118168,-0.09439241605551038,-0.04581566985326627,0.06718754698077747,-0.04218590434493005,0.22181299355700554,0.03810141190372627,-0.19409263619624187,-0.1730385249597114,0.00101392777572375,0.024487914615522317,-0.00237503001841245,0.04845421607927102,-0.021728217425785155,0.01576532856194563,0.026043848748236488,0.015477224624380358,-0.0002830650633354302,0.00927385933052932,0.018984840622131804,0.030860780772572493,-0.08815087024138245,-0.12519054985072622,,0.041135789612270296,0.09323279144759392,-0.21547099061336358,-0.028591355126692856,0.01146621643362733,0.18219865945713692,-0.025553185142539042,-0.013784810064590921
SpinAxis,0.013524237389605164,-0.027104769715648444,-0.0941477750916466,-0.0548586959423314,0.26671926085391867,-0.007021363566190972,-0.15990115282872297,0.024264323911766725,-0.023170557799570474,-0.01711568348454729,-0.15435278367503633,0.025304189253222063,-0.019073366290142484,0.3184361152241766,-0.19568368218253096,-0.4646746594527137,-0.11201718989108188,1.0,-0.06723894831008487,0.2724760023928066,0.15773054927318722,0.2930389742416631,0.22609033974262133,0.8182728431144909,0.028377244646352,0.2636339675715021,0.3115249423507343,0.2894575766674814,0.3194396428240672,-0.3150534816867632,0.020459492992087838,-0.042091566015956,0.03969983896925973,0.013521504282094247,-0.0006491992440473486,0.00472761948662572,0.013954560186810816,-0.03498506163200985,-0.031039240527504633,-0.004552192043689804,-0.03212862462901476,-0.7957014910482841,0.22885564527927235,-0.2501793635742052,,-0.11039420156389082,0.44769197903742936,-0.31801585102077706,-0.18229945220494087,-0.7684351160254266,0.254466757669724,0.2377520781066967,-0.02247058532960388
RelHeight,-0.06191597042813136,-0.03453907283079992,-0.007401638895068353,0.10453153341238404,-0.047688921906283654,0.022686527009654556,0.045350932137552084,-0.05002177355539546,-0.017334443819263037,-0.008681263273070844,-0.00877773236053359,-0.004773467572573486,-0.00756558183025356,0.15659462795011697,-0.5807742538870914,0.11142201572420571,0.03896247296573654,-0.06723894831008487,1.0,-0.13733302739571576,-0.13020329932883812,0.27454361955295137,0.3249762855501247,-0.0330673637680377,0.20556270904291027,-0.024103208995647708,0.16664998160827085,-0.10570967651030791,0.12847258642496345,-0.13256853002903254,0.016248103868074706,0.04960813879844904,-0.014596361178098559,0.022066858239283196,-0.011742522634366365,0.03525545021907974,0.0019025448006625484,0.03894819488969356,0.032167703592904405,-0.0007281545703770508,0.04602470082814549,0.04315042410650821,0.34834430725785487,0.13914637782071862,,0.9864043217499292,-0.10255484024816129,-0.15871762664073394,-0.6012455755428681,0.032943875858202507,0.12679885392535872,0.3502048160776725,0.000631695897097688
RelSide,0.06554988423903232,0.008043528162311197,-0.020173791102542804,-0.06944826057428438,0.9131523088480945,-0.06427539999509316,-0.10249814432241772,0.07138898680188259,0.01225100938311005,-0.02257731472183003,-0.01941331672512948,0.015834823160918297,0.002218314725367339,0.13046812267205132,0.05182989169442628,-0.9394190501235629,0.12257270753182721,0.2724760023928066,-0.13733302739571576,1.0,0.1287400629901733,0.006340736579004166,-0.09067921141138018,0.5902166419820426,-0.009208001960891133,0.19994625981945616,0.13693081132528376,0.05685393928656361,-0.6967095174864315,-0.1405043782464114,-0.03203585333929701,-0.02606884957192417,0.021422459130322216,-0.03331161987647857,-0.03203538941113234,0.011068793371297337,-0.00014924631888466847,-0.039322910134381064,-0.04928556157753029,-0.005070590318594143,-0.026217055977081714,-0.648314484500682,-0.0839649248225591,-0.9990800033943942,,-0.1371870988923784,0.9396375872375275,-0.1322489768417396,0.04691417506577323,-0.6681073607886999,0.09910165603379029,-0.05353595123727601,-0.017232253026284523
Extension,0.08019499513466469,0.039474443560579955,-0.02056353112395712,0.010620559773775894,0.13920672895670247,-0.021628961081054544,-0.06659709067182666,0.048201684257915524,0.03227056271617255,0.026656871686684083,-0.0795218092106577,0.004660348774126137,0.0016925125511157125,0.27374887460861264,-0.18714925469746085,-0.16012283155819024,-0.15913659831766294,0.15773054927318722,-0.13020329932883812,0.1287400629901733,1.0,0.319605409965864,0.1891367875946904,0.17360348587777438,0.04656740526384856,0.03595495816295411,0.28714304380987404,0.31006276906647445,-0.025125784344625292,-0.4184889756831094,0.024547008219159762,-0.014427456629704249,0.05356407068138453,-0.01410131793878007,-0.006814745987262503,0.016993803280452257,0.035157610492455506,-0.013182555290699123,-0.022337206208993373,0.03836684709491243,-0.013011322216096369,-0.17895435844125565,0.21463693109140505,-0.1291679806005972,,-0.1569683801225739,0.1618233725168705,-0.28793413204553736,-0.13159941662735333,-0.1770964072920492,0.20509092808925714,0.2230790698384198,-0.0025731787013214776
VertBreak,-0.0420099224453602,-0.08404549370819576,-0.02941965428504946,-0.009278937110750302,0.02677733848586936,0.04005454788875492,-0.037575301044322496,-0.03125135849926375,-0.0443546035753789,0.10562852826412425,-0.18577916544990036,-0.003301114817559244,-0.04373045953634604,0.8448475663109247,-0.82891513537599,-0.09268329584479966,0.01784143910118168,0.2930389742416631,0.27454361955295137,0.006340736579004166,0.319605409965864,1.0,0.9207539469981205,0.25512511240421737,0.24045659915715198,0.056534337473875505,0.8161506895849128,0.8388134325496589,0.18019798159646327,-0.8465200260161602,0.0914643478934614,0.0857368993489398,0.04384728862383361,0.04503934413434502,-0.0093048650696214,0.0859458671276195,0.03266150136819988,0.08016148743302769,0.04077857313891003,0.0329018278832514,0.09317208759400093,-0.2424357811710624,0.9309268041040193,0.0015530759623484456,,0.14341480921926805,0.09577687329173919,-0.8441733034064614,-0.7828163217075753,-0.2385058980709978,0.7207585508378569,0.9486608809798334,-0.006071184267050259
InducedVertBreak,-0.058933589621696925,-0.06904469741952493,-0.025059195998216984,0.039061510370583766,-0.08733059930101814,0.04030369984514503,-0.018423744996074066,-0.054660748238577465,-0.05038673787179526,0.09953406042541885,-0.16951510174077827,-0.0006983460079717306,-0.03447183804757087,0.587343101788281,-0.7837167106876902,0.015089316001162674,-0.09439241605551038,0.22609033974262133,0.3249762855501247,-0.09067921141138018,0.1891367875946904,0.9207539469981205,1.0,0.14999363253045483,0.24792603999423687,0.028300618105815686,0.5428675084251751,0.7555917272820112,0.21294894328539452,-0.5727989221347466,0.0662951537591508,0.1536030285707445,0.036589989753551745,0.058097268721111955,-0.01297995920024443,0.12576272208874137,0.023653645902673718,0.13426858278337608,0.0804238175502788,0.030673341247129355,0.15761242428404915,-0.13450399399451526,0.9979686403113324,0.09656148700127222,,0.20571477022776208,-0.012211849934278174,-0.5840031617854926,-0.7402343116215199,-0.1291113851061765,0.5525473614466829,0.9835953681432923,-0.008672566064000221
HorzBreak,0.04675405589823788,-0.013613635026515023,-0.08536990552110099,-0.09345109006061728,0.622619186886875,-0.04115595903419258,-0.15182701724165795,0.05977130583849522,-0.008237002359833023,-0.024464819953920674,-0.13630833611956578,0.015672257269303918,-0.004210286208730419,0.33978023052596057,-0.18086968935574751,-0.7610888443472164,-0.04581566985326627,0.8182728431144909,-0.0330673637680377,0.5902166419820426,0.17360348587777438,0.25512511240421737,0.14999363253045483,1.0,0.026756459988287608,0.3224843924865865,0.33851032644860196,0.24033088022425872,0.0936906062093397,-0.3390731419153083,0.013040103007345124,-0.05157192430158493,0.017569424039506107,-0.02133110810916381,-0.001121946124651908,-0.0037957171924680134,-0.005698798021773409,-0.050731279549381135,-0.045976059078658024,-0.029210444388717373,-0.04665763188493121,-0.9966329240234684,0.1583428479677459,-0.566912356558461,,-0.06884744006897503,0.744487096302511,-0.34068765692473124,-0.17516874957048292,-0.9873606414766588,0.26961522473812755,0.1848076410438925,-0.013897287490561771
PlateLocHeight,-5.428825467442401e-06,-0.01168775173837388,-0.016024879717286153,0.010353067551306215,0.017887541199223544,0.033722624906978145,0.013891617610594022,-0.0007658748731177705,-0.0063956673050615,0.004140249702922792,-0.04430522375991412,0.023970550389039114,-0.02635372671447642,0.17578262151348056,0.15191397090532502,0.0032608896696335317,0.06718754698077747,0.028377244646352,0.20556270904291027,-0.009208001960891133,0.04656740526384856,0.24045659915715198,0.24792603999423687,0.026756459988287608,1.0,0.030021582928978302,0.1510314593067004,0.5489568583096108,0.039218109851702244,-0.16956281072568555,0.001277616823174911,0.16754349678480038,-0.0059261999283332254,0.08838348175233196,-0.028788872305820563,0.1850117054735585,-0.0205483223418048,0.1367157046589103,0.07208267457082747,-0.0062829106418979975,0.18588314259344305,-0.024513648819530817,0.21773416251298436,0.00916543694500809,,0.26543813213683937,-0.00118869586933642,-0.17853862948115803,0.20052206841028425,-0.02735390301807837,0.17754109426224596,0.2258104639307197,-0.03553910382275067
